Title,YouTube Link,brief_desc,Built With,By,Location,cluster
What to do,https://www.youtube.com/watch?v=R0ChgvreLZE,"The application uses a combination of user preferences, Google-powered search APIs, and historical data to provide personalized recommendations and suggest tailored places and spots based on individual users' interests and current locations.","Web/Chrome, Firebase, Next.js, Node.js",The Boys,India,0
What-robe,https://www.youtube.com/watch?v=pYrNV0JpOZA,"The application helps users manage their wardrobe by uploading images of clothes, organizing them in a gallery, and suggesting outfits from their own wardrobe based on style.","Flutter, Firebase",The Differentials,India,0
Whistle Whisper,https://www.youtube.com/watch?v=C5WBCXsEfJI,"The application empowers whistleblowers to report wrongdoing by providing a safe and effective reporting process, analyzing their story and evidence, and generating tailored reports. It uses Google's Gemini API to analyze and assess risks, and offers safety tips and improvement suggestions.",Web/Chrome,OOF,India,1
Who did it,https://www.youtube.com/watch?v=Hy9JuMZS9y4,The game is a futuristic detective simulation where players must track down an AI-driven character to stop crimes in a dystopian world.,,Shanks,India,0
WikiBot.AI,https://www.youtube.com/watch?v=ja2febU2WVM,"The application leverages a Gemini Flask model to enhance query search capabilities, allowing users to navigate and extract information from Wikipedia efficiently through natural language processing.",Web/Chrome,XROM,India,1
Wisp,https://www.youtube.com/watch?v=T2yT-CjmqEo,"The application helps users simplify their studies by generating notes, flashcards, summaries, study guides, and keywords from PDF or text input using Gemini API technology.","Flutter, Web/Chrome",Techiez,India,1
WonderWorld,https://www.youtube.com/watch?v=jPuptXhjl-4,"The application uses the Google Gemini API to generate child-friendly responses that explain complex topics in an easy-to-understand manner, allowing children to learn independently through a fun and interactive learning experience.",,Saaniya's project,India,1
Woo Gemini API,https://www.youtube.com/watch?v=UvhxIAD9-Ss,"The application uses Generative AI to populate product pages with meaningful content, allowing store owners to focus on core business.",Web/Chrome,Invention One,India,0
Woodocarlo,https://www.youtube.com/watch?v=vgCUlM-jqN4,"The AI-powered personal assistant analyzes user data to anticipate needs, automate tasks, and provide personalized recommendations through natural language understanding, task management, proactive healthcare, and assistance.","Android, Google Cloud Services",Nischal,India,0
WoS,https://www.youtube.com/watch?v=Zn2mI3NP_LY,"The application is a collaborative platform for voting and rating government and private organizations based on their services, utilizing technology to facilitate user interactions.","Android, Firebase",Thapliyal,India,0
Woxa,https://www.youtube.com/watch?v=3xz4LkfYZ2Y,"The application generates a fully scripted video for content creators and advertisers, providing them with a convenient tool to produce professional-looking videos without extensive technical expertise.","Web/Chrome, GCP VM Instance",Team Woxa,India,0
Write Buddy,https://www.youtube.com/watch?v=b3kfY1gbAOI,"The application uses AI to analyze handwriting, providing personalized insights and suggestions for improvement through a dashboard that tracks progress over time. It also offers rewards and badges based on performance, aiming to make learning fun and engaging.",Flutter,Team Pratham,India,0
Xylia,https://www.youtube.com/watch?v=kQ4tVnAUPqo,"The application uses advanced AI to optimize productivity in meetings by providing real-time answers, intelligent prompts, visual content analysis, comprehensive summaries, and powerful search capabilities.","Web/Chrome, Firebase, Chrome Extension",Limbo,India,0
XYLO,https://www.youtube.com/watch?v=W-oY0ayts2Q,"The application provides a versatile AI assistant that integrates with Google Workspace, enabling users to perform various tasks such as document generation, email drafting, spreadsheet design, and code generation through natural language commands.","Web/Chrome, Firebase, (Google Text-to-Speech, Google Speech-to-Text, Gmail, Google Docs, Google Sheets, YouTube, Google Meet, Google People) API's",CodeX,India,0
Yield Smart,https://www.youtube.com/watch?v=eD2FErGhSq8,"The application uses AI, IoT, and real-time data to provide insights and assistance for plant care and farming by leveraging Firebase as a key technology. It enables seamless communication between users and the system through voice or text input, providing efficient and intuitive interaction.","Web/Chrome, Firebase",Tech Innovators,India,0
Yoga with Gemini,https://www.youtube.com/watch?v=bT0zqeVEtPM,"The application uses Gemini AI to fetch data based on user prompts, specifically for yoga and food/diet information, and displays it accordingly using Firebase as a backend.",Firebase,Bindu,India,1
Your Fashion,https://www.youtube.com/watch?v=FPaTKkSepFg,"The application provides personalized outfit suggestions by analyzing the color of clothing using the Gemini API, generating tailored recommendations based on the analysis and user input.",Web/Chrome,Mass,India,1
YourStories,https://www.youtube.com/watch?v=sNed-uWvzjY,"The application allows children to engage in interactive storytelling, making choices that shape the story's outcome through dynamic text and images.",Web/Chrome,PS,India,0
YT - ChatBot,https://www.youtube.com/watch?v=56cIm86Z-ng,"The application provides a platform to access YouTube video data through caption extraction, enabling users to quickly skim content, extract relevant information, and retrieve it with intelligent query processing using Gemini API.","Flutter, Firebase","Status Code - 404 (Harsh,Dev)",India,1
Yuvraj Singh,https://www.youtube.com/watch?v=gtxlLqOiqho,"The application uses Gemini's APIs to provide real-time insights, summaries, and answers to educational content on YouTube videos, enhancing learning experiences through interactive and personalized information access.","Web/Chrome, Firebase",TubeGPT by Yuvraj Singh,India,1
ZapAI,https://www.youtube.com/watch?v=VyPHDjO_ggA,"The platform uses AI-powered natural language processing to streamline content creation, generating high-quality content tailored to each user's brand voice and target audience.",Web/Chrome,NA2,India,0
Zedd,https://www.youtube.com/watch?v=JHC7yW6THMQ,"The application uses natural language processing to create a personal assistant that helps with daily tasks, such as opening websites and playing music, in a human-like conversation flow.",Web/Chrome,ZEDDxTULIP,India,0
Zen,https://www.youtube.com/watch?v=LfmJq2BAgSg,"The application provides a personal mental health care assistant that tracks users' emotions, recommends personalized content based on mood, and offers dynamic questionnaires to help with emotional well-being.","Flutter, Firebase",Zen Team,India,0
Ziksana,https://www.youtube.com/watch?v=wRFTYPKIjdo,"The application leverages AI-powered features to provide personalized feedback, evaluation, and analysis of student performance, as well as augmented reality capabilities for collaborative learning.","Flutter, Android, ARCore, Firebase, iOS, GCP",Ziksana - Sandeep Deb - Solo dev,India,0
,https://www.youtube.com/watch?v=U12t9u-eGLY,"The AI-powered learning assistant provides interactive tools and personalized lessons across various subjects, offering real-time assistance and tailored recommendations to support diverse learning needs.",Flutter,Tamal Maity,India,0
,https://www.youtube.com/watch?v=NXGQb9dg634,"The application uses Gemini Vision to detect food items in photos, generates personalized daily health tips, and provides a summary of nutritional intake for users.",Google Compute Engine,Nuhman PK,India,1
